cassandra;Question;Réponse 1;Réponse 2;Réponse 3;;Bonne réponse
1;Cassandra est un SGBD de type ?;Clé/valeur;Document;Colonnes;;3
2;Pour créer une Base de Données Cassandra il faut exécuter la commande suivante;CREATE DATABASE database_name WITH REPLICATION = {'class' : 'SimpleStrategy', 'replication_factor' : N } } ;CREATE KEYSPACE database_name WITH REPLICATION = {'class' : 'SimpleStrategy', 'replication_factor' : N } } ;;;2
3;Après avoir créé un KeySpace Cassandra nommé 'examen' on crée une table avec la commande suivante : CREATE TABLE examen.villes (id_ville int PRIMARY KEY,nom_ville varchar,id_pays text) Est-ce correct ?;oui;non;;;1
4;DESCRIBE nom_de_table de Cassandra affiche la structure d'une table;vrai;faux;;;1
5;DESCRIBE tables de Cassandra affiche la liste des tables d'un KeySpace;vrai;faux;;;1
6;Avec Cassandra INSERT INTO nomDeTable(col1, col2, ...) VALUES('val1', 'val2', ...) Cette commande permet-elle d'insérer une ligne dans une table ?;oui;non;;;1
7;Avec Cassandra on insère 7 villes dans la table villes. Par exemple : INSERT INTO examen.villes(id_ville, nom_ville, id_pays) VALUES(1, 'Paris', 'fr') Jusqu'à 7 ... Que fait la commande suivante : SELECT * FROM villes;Elle affiche les 5 premières villes;Elle affiche toutes les villes;Elle affiche un message d'erreur;;2
8;Avec Cassandra qu'affiche la commande suivante : SELECT * FROM villes WHERE id_ville IN(1,2);Elle affiche les 2 premières villes;Elle affiche un warning;Elle affiche un message d'erreur;;1
9;Avec Cassandra qu'affiche la commande suivante : SELECT * FROM villes WHERE id_ville > 2;Elle affiche les villes dont l'id est supérieur à 2;Elle affiche un warning;Elle affiche un message d'erreur;;3
10;Avec Cassandra qu'affiche la commande suivante : SELECT * FROM villes WHERE id_ville > 2 ALLOW FILTERING ;Elle affiche les villes dont l'id est supérieur à 2;Elle affiche un warning;Elle affiche un message d'erreur;;1
