SQL;Question;Réponse 1;Réponse 2;Réponse 3;;Bonne réponse
1;Domaine SQL : Le R de SGBDR signifie;Que les tables sont pour la plupart reliées entre elles;Que le SGBD implémente SQL;Que le SGBD implémente un langage de manipulation qui implémente l'algèbre relationnelle;;3
2;Domaine SQL : SQL est divisible en 4 sous-langages (sigles français);LCD, LMD, LCBD, LCT;LDD, LGD, LCD, LCT;LDD, LMD, LCD, LCT;;3
3;Domaine SQL : Quel ordre de création d'une base de données est correct ?;CREATE DATABASE IF NOT EXISTS base_exos DEFAULT SET OF CHARACTER  utf8 COLLATE utf8_general_ci;CREATE DATABASE base_exos IF NOT EXISTS ;CREATE DATABASE IF NOT EXISTS base_exos DEFAULT CHARACTER SET utf8;;3
4;Domaine SQL : Quel ordre de création d'un index est correct ? La table nommée 'villes' possède les colonnes suivantes : id_ville, nom_ville, site, photo, id_pays ?;ALTER TABLE villes ADD INDEX idx_villes_nom_ville (nom_ville), OTHER INDEX i_villes_site(site);ALTER TABLE villes ADD INDEX idx_villes_nom_ville (nom_ville), ADD INDEX i_villes_site(site);CREATE MULTIPLE INDEX idx_villes ON villes(nom_ville, site);;2
5;Domaine SQL : Quelle syntaxe de création d'une view est correct ?;CREATE OR REPLACE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WITH condition] [AND WITH CHECK OPTION];CREATE OR REPLACE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WHERE condition] [WITH CHECK OPTION];DROP AND RECREATE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WHERE condition] [WITH CHECK OPTION];;2
6;Domaine SQL : Définition de la 1e Forme normale;Tous les attributs de la relation sont élémentaires et il existe un attribut identifiant.;Tous les attributs de la relation sont élémentaires.;Une relation possède un attribut identifiant.;;1
7;Domaine SQL : Définition de la 2e Forme normale;Chaque attribut de la relation dépend de tout l'identifiant ou d'une partie.;Le 2e attribut et les suivants dépendent du 1e attribut de la relation;Tout attribut dépend de l'identifiant par une dépendance fonctionnelle (DF) élémentaire.;;3
8;Domaine SQL : Définition de la 3e Forme normale;Tout attribut de la relation doit dépendre de l'attribut identifiant par une DF indirecte;Tout attribut de la relation doit dépendre de l'attribut identifiant par une DF directe;Tout attribut doit dépendre de l'attribut identifiant par une DF multi-valuée;;2
9;Domaine SQL : Définition de la forme normale de Boyce Codd;Tout élément de l'identifiant d'une relation est indépendant d'un attribut;Tout élément de l'identifiant d'une relation est dépendant d'un attribut;Tous les éléments de l'identifiant d'une relation sont aussi des Foreign Keys;;1
10;Domaine SQL : Une Primary Key est :;Not Null, unique, auto incrémentée, indexée;Not Null, unique, indexée;Not Null, unique,numérique, indexée;;2
11;Domaine SQL : Une clé étrangère doit-elle être du même type que la colonne qu'elle référence ?;oui;non;;;1
12;Domaine SQL : Comment créer une clé alternative ?;PRIMARY KEY;ALTERNATIVE KEY;INDEX UNIQUE;;3
13;Domaine SQL : Lequel des ordres SQL SELECT est incorrect ? La table est nommée 'produits' et contient les colonnes suivantes : id_produit, désignation, prix, stock, catégorie ?;SELECT designation, AVG(prix), categorie FROM produits GROUP BY categorie;SELECT AVG(prix), categorie FROM produits GROUP BY categorie;SELECT designation, AVG(prix), categorie FROM produits GROUP BY categorie, designation;;1
14;Domaine SQL : Laquelle de ces clauses ne tire pas partie de l'index sur la colonne cp ?;ORDER BY cp;WHERE cp LIKE '75%';WHERE LEFT(cp,2) = '75';;3
15;Domaine SQL : SELECT c.name FROM customers as c INNER JOIN orders as o ON c.id=o.customer_id. Cette requête retourne :;L'ensemble des clients;Une ligne par client;Une ligne par commande;;3
16;Domaine SQL : Quel type de jointure permet d'obtenir la liste des personnes possédant ou ne possédant pas de ligne correspondante dans une table des téléphones ?;NATURAL JOIN;LEFT JOIN;INNER JOIN;;2
17;Domaine SQL : Une auto theta-jointure;est une jointure sur la même table avec une condition d'égalité;est une jointure sur la même table sans condition de jointure;est une jointure sur la même table avec une condition d'inégalité;;3
18;Domaine SQL : Que veut dire ACID ?;Atomicity Consistency Isolation Durability;Access Consistency Isolation Data ;Access Constraint Index Data;;1
19;Domaine SQL : Quelle commande annule une transaction ?;CANCEL;ROLLBACK;COMMIT;;2
20;Domaine SQL : Une procédure stockée MySQL est :;Une procédure stockée MySQL est un mélange de code SQL stocké sur le serveur et de code procédural stocké dans une application cliente;Une procédure stockée MySQL est du code procédural stocké sur un serveur et associé à des requêtes stockées;Une procédure stockée MySQL est un mélange de code SQL et de code procédural stocké sur un serveur;;3
21;Domaine SQL : Une fonction stockée MySQL accepte-t-elle des paramètres IN et/ou OUT ?;oui;non;;;2
22;Domaine SQL : CRUD est traduit en SQL par les commandes suivantes :;CREATE, READ, UPDATE, DELETE;CREATE, READ, UPDATE, DROP;INSERT, SELECT,  UPDATE, DELETE;;3
23;Domaine SQL : Une clef étrangère doit faire l'objet d'une contrainte d'unicité ?;oui;non;;;2
24;Domaine SQL : Une contrainte de clé primaire se traduit par :;NOT NULL;Un type numérique auto incrémenté;PRIMARY KEY;;3
25;Domaine SQL : Quelle serait la clé primaire d'une table d'association ?;Une colonne numérique auto incrémentée;Une clé composée de toutes les clés étrangères;Une table d'association n'a pas besoin de clé primaire;;2
