SQL;Question;Réponse 1;Réponse 2;Réponse 3;;Bonne réponse
1;Le R de SGBDR signifie;Que les tables sont pour la plupart reliées entre elles;Que le SGBD implémente SQL;Que le SGBD implémente un langage de manipulation qui implémente l'algèbre relationnelle;;3
2;SQL signifie;Structured reQuest Language;Structured Query Language;Sequential Query Language;;2
3;SQL est divisible en 4 sous-langages (sigles français);LCD, LMD, LCBD, LCT;LDD, LGD, LCD, LCT;LDD, LMD, LCD, LCT;;3
4;LDD signifie;Langage de Définition de Données;Langage de Données Définitives;Langage Définitionnel des Données;;1
5;LMD signifie;Langage de Managment de Données;Langage de Manipulation de Données;Langage de Modification de Données;;2
6;LCD signifie;Langage de Définition de Données;Langage de Contraintes des Données;Langage de Contrôle de Données;;3
7;LCT signifie;Langage de Contrôle des Transactions;Langage de Contraintes Temporel;Langage de Contraintes Transactionnelles;;1
8;Quel ordre de création d'une base de données est correct ?;CREATE DATABASE IF NOT EXISTS base_exos DEFAULT SET OF CHARACTER  utf8 COLLATE utf8_general_ci;CREATE DATABASE base_exos IF NOT EXISTS;CREATE DATABASE IF NOT EXISTS base_exos DEFAULT CHARACTER SET utf8;;3
9;Quel ordre de création d'un index est correct ? La table nommée 'villes' possède les colonnes suivantes : id_ville, nom_ville, site, photo, id_pays;ALTER TABLE villes ADD INDEX idx_villes_nom_ville (nom_ville), OTHER INDEX i_villes_site(site);ALTER TABLE villes ADD INDEX idx_villes_nom_ville (nom_ville), ADD INDEX i_villes_site(site);CREATE MULTIPLE INDEX idx_villes ON villes(nom_ville, site);;2
10;Quelle syntaxe de création d'une view est correct ?;CREATE OR REPLACE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WITH condition] [AND WITH CHECK OPTION];CREATE OR REPLACE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WHERE condition] [WITH CHECK OPTION];DROP AND RECREATE VIEW nom_de_vue AS SELECT * | colonnes FROM nom_de_table [WHERE condition] [WITH CHECK OPTION];;2
11;1e Forme normale;Tous les attributs de la relation sont élémentaires et il existe un attribut identifiant.;Tous les attributs de la relation sont élémentaires.;Une relation possède un attribut identifiant.;;1
12;2e Forme normale;Chaque attribut de la relation dépend de tout l'identifiant ou d'une partie.;Le 2e attribut et les suivants dépendent du 1e attribut de la relation;Tout attribut dépend de l'identifiant par une dépendance fonctionnelle (DF) élémentaire.;;3
